sentence,label
"Selon Gran , l'entreprise n'a pas l'intention de déplacer toute la production vers la Russie , bien que c'est là que l'entreprise est en croissance .",1
"Avec la nouvelle usine de production , l' entreprise augmenterait sa capacité à répondre à l' augmentation attendue de la demande et améliorerait l' utilisation des matières premières et, partant , augmenterait la rentabilité de la production .",2
"Au cours du dernier trimestre de 2010 , les ventes nettes de Componenta ont doublé , passant de 76 millions d' euros à 131 millions d' euros pour la même période un an plus tôt , alors qu' elles sont passées à un bénéfice avant impôt nul provenant d' une perte avant impôt de 7 millions d' euros .",2
"Au troisième trimestre de 2010 , les ventes nettes ont augmenté de 5,2 % pour atteindre 205,5 millions d' euros , et les bénéfices d' exploitation de 34,9 % pour atteindre 23,5 millions d' euros .",2
"Le bénéfice d' exploitation s' est élevé à 13,1 millions d' euros , contre 8,7 millions d' euros au cours de la période correspondante en 2007 , ce qui représente 7,7 % des ventes nettes .",2
"Le bénéfice d' exploitation s' est élevé à 21,1 millions d' euros , en hausse par rapport à 18,6 millions d' euros en 2007 , ce qui représente 9,7 % des ventes nettes .",2
TeliaSonera TLSN a déclaré que l'offre est en ligne avec sa stratégie d'augmenter sa propriété dans les portefeuilles d'affaires de base et renforcerait l'offre d'Eesti Telekom à ses clients .,2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) a augmenté la juste valeur des actions dans quatre des plus grands groupes forestiers nordiques .",2
"Un contrat d'achat pour 7 200 tonnes d'essence avec livraison au terminal Hamina, Finlande, a été signé avec Neste Oil OYj à l'indice moyen Platts pour ce septembre plus huit dollars américains par mois.",2
"Talentum indique que son bénéfice d' exploitation est passé de 9,3 millions d' euros en 2004 à 20,5 millions d' euros en 2005 , et que les ventes nettes ont totalisé 103,3 millions d' euros , contre 96,4 millions d' euros .",2
"Les ventes de la chaîne de vente au détail de vêtements Sepp+ñl+ñ ont augmenté de 8 % pour s' établir à 155,2 millions d' euros , et le bénéfice d' exploitation est passé de 17,1 millions d' euros en 2004 à 31,1 millions d' euros .",2
"Les ventes nettes consolidées ont augmenté de 16 % pour atteindre 74 .8 millions d' euros , tandis que le bénéfice d' exploitation s' est élevé à 0,9 million d' euros par rapport à une perte de 0,7 million d' euros au cours de l' exercice précédent .",2
"La division des fonderies signale que ses ventes ont augmenté de 9,7 % pour s' établir à 63,1 millions d' euros , contre 57,5 millions d' euros au cours de la période correspondante en 2006 , et que les ventes de la division des ateliers de machines ont augmenté de 16,4 % pour s' établir à 41,2 millions d' euros , contre 35,4 millions d' euros au cours de la période correspondante en 2006 .",2
"HELSINKI ( AFX ) - Actions fermées plus haut , dirigé par Nokia après avoir annoncé son intention de s' associer à Sanyo pour fabriquer des combinés 3G , et par Nokian Tyres après son rapport de résultat du quatrième trimestre a battu les attentes des analystes , a déclaré les concessionnaires .",2
"Incap Contract Manufacturing Services Pvt Ltd , une filiale d'Incap Corporation de Finlande , prévoit de doubler ses revenus d'ici 2007-2008 .",2
"Son conseil d' administration proposera un dividende de 0,12 EUR par action pour 2010 , en hausse par rapport à 0,08 EUR par action payée en 2009 .",2
Lifetree a été fondée en 2000 et ses revenus ont augmenté en moyenne de 40 % avec des marges à la fin des années 30 .,2
"La base d' abonnés de MegaFon a augmenté de 16,1 % en 2009 pour atteindre 50,5 millions d' utilisateurs au 31 décembre , tandis que sa part de marché par le nombre de clients s' élevait à 24 % à la fin de 2009 , contre 23 % à la fin de 2008 , selon les estimations de TeliaSonera .",2
"Le revenu net de l' assurance-vie a doublé , passant de 3,2 millions d' euros à 6,8 millions d' euros , et le revenu net de l' assurance-vie est passé de 1,5 million d' euros à 5,2 millions d' euros au cours de la période correspondante en 2009 .",2
"Le chiffre d'affaires net est passé de 179 millions d'euros à 193 millions d'euros et le bénéfice avant impôt a augmenté de 34,2 % pour s'établir à 43 millions d'euros. ( 1 EUR = 1 ,4 USD )",2
"Les ventes nettes ont bondi de 18,5 % à 167 .8 millions d' euros. Teleste a déclaré que 20 .4 millions d' euros , soit 12,2 % , provenaient des acquisitions effectuées en 2009 .",2
"Le bénéfice opérationnel du Groupe Nordea a augmenté en 2010 de 18 pour cent sur un an à 3,64 milliards d'euros et le chiffre d'affaires total de 3 pour cent à 9,33 milliards d'euros .",2
"Le bénéfice d' exploitation pour la période de neuf mois est passé de 13 .6 millions d' euros , tandis que le chiffre d' affaires net est passé de 394 .7 millions d' euros , par rapport à la période correspondante de 2005 .",2
"Le bénéfice d' exploitation pour la période de neuf mois est passé de 3 millions d' euros à 1 million d' euros et les ventes nettes de 61,5 millions d' euros , par rapport à la période correspondante de 2007 .",2
"Le bénéfice d' exploitation pour la période de trois mois est passé de 1 .2 millions d' euros , tandis que les recettes sont passées de 20 .2 millions d' euros , par rapport à la période correspondante de 2005 .",2
"Le bénéfice net de la société a augmenté de 11,4 % par rapport à 2005 pour atteindre 82,2 millions d' euros , contre 686,5 millions d' euros , soit une hausse de 13,8 % par rapport à l' année précédente .",2
"Le marché lituanien de la bière représentait 14,41 millions de litres en janvier , soit une hausse de 0,8 % par rapport au chiffre le plus proche de l' année , l' Association lituanienne des Brewers faisant état des résultats de ses membres .",2
"Le chiffre d' affaires de Viking Line a augmenté de 5,4 % pour atteindre 21,46 millions d' euros , et le volume des marchandises a augmenté de 2,4 % pour atteindre 70 116 unités de fret .",2
"La juste valeur du portefeuille immobilier a doublé à la suite de l'acquisition de Kapiteeli et s'est élevée à 2 686,2 1 259,7 millions d'euros .",2
