sentence,label
"Laut Gran hat das Unternehmen keine Pläne, die gesamte Produktion nach Russland zu verlagern, obwohl das Unternehmen dort wächst.",1
Mit der neuen Produktionsanlage würde das Unternehmen seine Kapazitäten zur Deckung des erwarteten Nachfrageanstiegs erhöhen und die Verwendung von Rohstoffen verbessern und damit die Produktionsrentabilität erhöhen.,2
"Für das letzte Quartal 2010 verdoppelte sich der Nettoumsatz von Componenta im gleichen Zeitraum des Vorjahres auf 131 Mio EUR von 76 Mio EUR , während er aus einem Verlust vor Steuern in Höhe von 7 Mio EUR auf ein Null-Vorsteuerergebnis umgestellt wurde .",2
"Im dritten Quartal 2010 stieg der Umsatz um 5,2 % auf 205,5 Mio EUR und das Betriebsergebnis um 34,9 % auf 23,5 Mio EUR .",2
"Das Betriebsergebnis stieg von 8,7 Mio. EUR im entsprechenden Zeitraum 2007 auf 13,1 Mio. EUR , was 7,7 % des Nettoumsatzes entspricht .",2
"Das Betriebsergebnis belief sich auf 21,1 Mio EUR gegenüber 18,6 Mio EUR im Jahr 2007 , was 9,7 % des Nettoumsatzes entspricht .",2
"TeliaSonera TLSN sagte, das Angebot stehe im Einklang mit seiner Strategie, die Beteiligung an Kerngeschäftsbeteiligungen zu erhöhen und das Angebot der Eesti Telekom an ihre Kunden zu stärken.",2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) erhöhte den beizulegenden Zeitwert für Aktien in vier der größten nordischen Forstkonzerne .",2
"Ein Kaufvertrag für 7.200 Tonnen Benzin mit Lieferung am Hamina Terminal, Finnland, wurde mit Neste Oil OYj zum durchschnittlichen Platts Index für diesen September plus acht US-Dollar pro Monat unterzeichnet.",2
"Das Betriebsergebnis von Finnish Talentum erhöhte sich 2005 von 9,3 Mio EUR im Jahr 2004 auf 20,5 Mio EUR , der Nettoumsatz stieg von 96,4 Mio EUR auf 103,3 Mio EUR .",2
"Der Umsatz der Bekleidungseinzelhandelskette Sepp+ñl+ñ erhöhte sich um 8 % auf 155,2 Mio EUR und das Betriebsergebnis stieg von 17,1 Mio EUR im Jahr 2004 auf 31,1 Mio EUR .",2
"Der konsolidierte Nettoumsatz stieg um 16 % auf 74,8 Mio EUR , das operative Ergebnis betrug 0,9 Mio EUR im Vergleich zu einem Verlust von 0,7 Mio EUR im Vorjahreszeitraum .",2
"Nach Angaben der Gießereien stieg der Umsatz von 57,5 Mio EUR im entsprechenden Zeitraum 2006 um 9,7 % auf 63,1 Mio EUR und der Umsatz der Division Machine Shop um 16,4 % auf 41,2 Mio EUR von 35,4 Mio EUR im entsprechenden Zeitraum 2006 .",2
"HELSINKI ( AFX ) - Aktien geschlossen höher , geführt von Nokia , nachdem es angekündigt , Pläne für die Zusammenarbeit mit Sanyo 3G Handys zu produzieren , und von Nokian Tyres nach seinem vierten Quartal Ergebnisbericht schlagen Analysten Erwartungen , Händler sagte .",2
"Incap Contract Manufacturing Services Pvt Ltd , eine Tochtergesellschaft der Incap Corporation of Finland , plant eine Verdoppelung des Umsatzes bis 2007-2008 .",2
"Der Verwaltungsrat wird für 2010 eine Dividende in Höhe von 0,12 EUR je Aktie vorschlagen , die sich auf die im Jahr 2009 gezahlte Dividende von 0,08 EUR je Aktie beläuft .",2
"Lifetree wurde im Jahr 2000 gegründet , und seine Einnahmen sind im Durchschnitt um 40 % mit Margen in den späten 30er Jahren gestiegen .",2
"Die Teilnehmerbasis von MegaFon erhöhte sich 2009 um 16,1 % auf 50,5 Millionen Nutzer zum 31 . Dezember , während ihr Marktanteil Ende 2009 24 % betrug , gegenüber 23 % Ende 2008 , so die Schätzungen von TeliaSonera .",2
"Das Nettoeinkommen aus Lebensversicherungen verdoppelte sich von 3,2 Mio EUR auf 6,8 Mio EUR und das Nettoeinkommen aus Schadenversicherungen stieg von 1,5 Mio EUR im entsprechenden Zeitraum 2009 auf 5,2 Mio EUR .",2
"Der Nettoumsatz stieg von 179 ,9 Mio. EUR auf 193 ,3 Mio. EUR und der Gewinn vor Steuern stieg um 34,2 % auf 43 ,1 Mio. EUR ( 1 EUR = 1 ,4 USD )",2
"Der Umsatz stieg um 18,5 % auf 167,8 Mio EUR. Teleste sagte , dass 20 ,4 Mio EUR bzw . 12,2 % des Umsatzes aus den im Jahr 2009 getätigten Akquisitionen stammten .",2
"Das operative Ergebnis der Nordea Gruppe erhöhte sich 2010 um 18 Prozent gegenüber dem Vorjahr auf 3,64 Milliarden Euro und der Gesamtumsatz um 3 Prozent auf 9,33 Milliarden Euro .",2
"Das Betriebsergebnis stieg im Neunmonatszeitraum von 13 ,6 Mio . EUR , der Nettoumsatz stieg gegenüber dem entsprechenden Zeitraum 2005 von 394,7 Mio . EUR .",2
"Das Betriebsergebnis erhöhte sich im Neunmonatszeitraum von 3 ,1 Mio EUR und der Nettoumsatz stieg gegenüber dem entsprechenden Zeitraum 2007 von 61,5 Mio EUR .",2
"Das Betriebsergebnis für den Dreimonatszeitraum stieg von 1 ,2 Mio . EUR , während der Umsatz gegenüber dem entsprechenden Zeitraum 2005 von 20 ,2 Mio . EUR stieg .",2
"Der Nettogewinn des Unternehmens stieg gegenüber dem Vorjahr um 11,4 % auf 82,2 Millionen Euro im Jahr 2005 auf einen Umsatz von 686,5 Millionen Euro , ein Plus von 13,8 % gegenüber dem Vorjahr , sagte das Unternehmen .",2
"Der litauische Biermarkt machte im Januar 14,41 Millionen Liter aus , was einem Anstieg von 0,8 Prozent gegenüber dem Vorjahreswert entspricht , berichtet der litauische Brauereiverband unter Berufung auf die Ergebnisse seiner Mitglieder .",2
"Die Frachteinnahmen von Viking Line stiegen um 5,4 % auf 21,46 Mio EUR und das Frachtvolumen um 2,4 % auf 70,116 Frachteinheiten .",2
"Der beizulegende Zeitwert des Immobilienportfolios hat sich durch den Erwerb von Kapiteeli verdoppelt und belief sich auf 2.686,2 1.259,7 Mio. EUR .",2
"10. Februar 2011 - Das finnische Medienunternehmen Sanoma Oyj HEL : SAA1V sagte gestern, dass sich sein Nettogewinn 2010 fast auf 297 ,3 Mio. EUR von 107 ,1 Mio. EUR für 2009 verdreifacht hat und kündigte einen Vorschlag für eine erhöhte Auszahlung an .",2
"Ein Helsinki : ELIiV meldete heute EPS von 1 ,13 EUR für 2009 , was einem Anstieg gegenüber dem EPS von 1 ,12 EUR im Jahr 2008 entspricht .",2
"Aspo Plc STOCK EXCHANGE RELEASE Februar 11 , 2011 um8.45 Uhr ESL Shipping Ltd , Teil der Aspo Gruppe , hat einen neuen langfristigen Vertrag mit Rautaruukki Corporation für die Beförderung von Rohstoffen auf dem Seeweg auf der Ostsee unterzeichnet .",2
"Die Einnahmen der Kommission stiegen um 22 % auf 4,4 Mio EUR und das Darlehensvolumen um 13,5 % .",2
"Im Januar stieg der Verkehr , gemessen in Einnahmenkilometern RPK , um 3,2 % und die Kapazität , gemessen in verfügbaren Sitzkilometern ASK , um 12,2 % .",2
