sentence,label
"Según Gran , la empresa no tiene planes de trasladar toda la producción a Rusia , aunque es ahí donde la empresa está creciendo .",1
"Con la nueva planta de producción , la empresa aumentaría su capacidad para satisfacer el aumento esperado de la demanda y mejoraría el uso de las materias primas y , por tanto , aumentaría la rentabilidad de la producción .",2
"En el último trimestre del 2010 , las ventas netas de Componenta se duplicaron hasta situarse en 131 millones de euros frente a los 76 millones de euros del mismo período del año anterior , mientras que pasaron a un beneficio antes de impuestos cero de una pérdida de 7 millones de euros antes de impuestos .",2
"En el tercer trimestre del 2010 , las ventas netas aumentaron un 5,2 % hasta alcanzar los 205,5 millones de euros , y los beneficios de explotación un 34,9 % hasta alcanzar los 23,5 millones de euros .",2
"Los beneficios de explotación ascendieron a 13,1 millones de euros frente a 8,7 millones de euros en el período correspondiente del 2007 , lo que representa el 7,7 % de las ventas netas .",2
"Los beneficios de explotación ascendieron a 21,1 millones de euros , frente a 18,6 millones de euros en 2007 , lo que representa el 9,7 % de las ventas netas .",2
TeliaSonera TLSN dijo que la oferta está en línea con su estrategia para aumentar su propiedad en las tenencias de negocios principales y fortalecería Eesti Telekom 's oferta a sus clientes.,2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) aumentó el valor razonable de las acciones de cuatro de los mayores grupos forestales nórdicos .",2
"Un acuerdo de compra para 7.200 toneladas de gasolina con entrega en la terminal de Hamina, Finlandia, fue firmado con Neste OYj aceite en el índice de Platts promedio para este septiembre más ocho dólares EE.UU. por mes.",2
"Finnish Talentum informa que su beneficio de explotación aumentó a 20,5 millones de euros en 2005 , frente a 9,3 millones de euros en 2004 , y que las ventas netas ascendieron a 103,3 millones de euros , frente a 96,4 millones de euros .",2
"Las ventas de la cadena minorista de ropa Seppl aumentaron un 8 % hasta alcanzar los 155,2 millones de euros , y los beneficios de explotación se elevaron a 31,1 millones de euros , frente a 17,1 millones de euros en 2004 .",2
"Las ventas netas consolidadas aumentaron un 16 % hasta alcanzar los 74 ,8 millones EUR , mientras que los beneficios de explotación ascendieron a 0,9 millones EUR en comparación con una pérdida de 0,7 millones EUR en el ejercicio anterior .",2
"La división de fundicións informa de que sus ventas aumentaron un 9,7 % a 63,1 millones EUR , frente a 57,5 millones EUR en el período correspondiente del 2006 , y las ventas de la división de máquinas comerciales aumentaron un 16,4 % a 41,2 millones EUR , frente a 35,4 millones EUR en el período correspondiente del 2006 .",2
"HELSINKI ( AFX ) - Las acciones se cerraron más alto , liderado por Nokia después de que anunció planes para asociarse con Sanyo para fabricar teléfonos 3G , y por Nokian Tyres después de su cuarto trimestre informe de ganancias superó las expectativas de los analistas , los distribuidores dijeron .",2
"Incap Contract Manufacturing Services Pvt Ltd , filial de Incap Corporation of Finland , tiene previsto duplicar sus ingresos para 2007-2008 .",2
"Su consejo de administración propondrá un dividendo de 0,12 euros por acción para 2010 , frente a los 0,08 euros por acción pagados en 2009 .",2
"Lifetree fue fundada en el 2000 , y sus ingresos han aumentado en una media del 40 % con márgenes a finales de los años 30 .",2
"La base de abonados de MegaFon aumentó el 16,1 % en 2009 a 50,5 millones de usuarios al 31 de diciembre , mientras que su cuota de mercado por número de clientes ascendió al 24 % a finales del 2009 , frente al 23 % a finales del 2008 , según las estimaciones de TeliaSonera .",2
"La renta neta del seguro de vida se duplicó hasta situarse en 6,8 millones de euros a partir de 3,2 millones de euros , y la renta neta del seguro no de vida aumentó hasta situarse en 5,2 millones de euros a partir de 1,5 millones de euros en el período correspondiente de 2009 .",2
"Las ventas netas aumentaron a 193,3 millones EUR de 179,9 millones EUR y el beneficio antes de impuestos aumentó un 34,2 % a 43,1 millones EUR ( 1 EUR = 1,4 USD )",2
"Las ventas netas aumentaron un 18,5 % hasta situarse en 167 ,8 millones de euros. Teleste dijo que 20 ,4 millones de euros , o el 12,2 % , de las ventas procedían de las adquisiciones realizadas en 2009 .",2
"El beneficio operativo de Nordea Group aumentó en 2010 en un 18 por ciento interanual a 3,64 mil millones de euros y los ingresos totales en un 3 por ciento a 9,33 mil millones de euros .",2
"Los beneficios de explotación del período de nueve meses aumentaron de 13 ,6 millones EUR , mientras que las ventas netas aumentaron de 394 ,7 millones EUR , en comparación con el período correspondiente del 2005 .",2
"Los beneficios de explotación para el período de nueve meses aumentaron de 3,1 millones EUR y las ventas netas aumentaron de 61 ,5 millones EUR , en comparación con el período correspondiente del 2007 .",2
"Los beneficios de explotación del período de tres meses aumentaron de 1,2 millones de euros , mientras que los ingresos aumentaron de 20,2 millones de euros , en comparación con el período correspondiente del 2005 .",2
"El beneficio neto de la empresa aumentó un 11,4 % en el año hasta 82,2 millones de euros en 2005 , con ventas de 686,5 millones de euros , un 13,8 % más que en el año , dijo la empresa anteriormente .",2
"El mercado de la cerveza lituana ascendió a 14,41 millones de litros en enero , lo que representa un aumento del 0,8% con respecto a la cifra anterior , según informa la Asociación Lituana de Cervecerías , que cita los resultados de sus miembros .",2
"Los ingresos de carga de Viking Line aumentaron en un 5,4 % hasta 21,46 millones de euros , y el volumen de carga aumentó en un 2,4 % hasta 70,116 unidades de carga .",2
"El valor razonable de la cartera inmobiliaria se duplicó como resultado de la adquisición de Kapiteeli y ascendió a 2.686,2 1.259,7 millones de euros .",2
"10 de febrero de 2011 - La empresa de medios de comunicación finlandesa Sanoma Oyj HEL : SAA1V dijo ayer que su beneficio neto 2010 casi se triplicó a EUR297 ,3 m de EUR107 ,1 m para 2009 y anunció una propuesta para un pago aumentado .",2
"A Helsinki : El ELIiV ha informado hoy de un EPS de 1 ,13 EUR para el 2009 , lo que supone un aumento con respecto al EPS de 1 ,12 EUR en el 2008 .",2
"Aspo Plc STOCK INTERCAMBIO DIFUSIÓN 11 de febrero de 2011 a las 8.45 horas ESL Shipping Ltd , parte del Grupo Aspo , ha firmado un nuevo contrato a largo plazo con Rautaruukki Corporation para el transporte marítimo de materias primas sobre el Mar Báltico .",2
"Los ingresos de la Comisión aumentaron un 22 % hasta situarse en 4,4 millones de euros , y el volumen de préstamos aumentó un 13,5 % .",2
"En enero , el tráfico , medido en kilómetros de pasajeros de ingresos RPK , aumentó un 3,2 % y la capacidad , medida en kilómetros de asientos disponibles ASK , aumentó un 12,2 % .",2
"En enero y septiembre de 2010 , el beneficio neto de Fiskars aumentó un 14 % interanual a 65,4 millones de euros y las ventas netas a 525,3 millones de euros de 487,7 millones de euros .",2
"Los ingresos netos del seguro de vida se elevaron a 16,5 millones de euros , de 14,0 millones de euros , y los ingresos netos del seguro no de vida a 22,6 millones de euros , de 15,2 millones de euros en 2009 .",2
